,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,precision,recall,SRP@0,SRP@1,SRP@2,SRP@3,SRP@4,SRP@5,SRP@6,SRP@7,SRP@8,SRP@9,SRP@10,SRR@0,SRR@1,SRR@2,SRR@3,SRR@4,SRR@5,SRR@6,SRR@7,SRR@8,SRR@9,SRR@10,accuracy,precision,recall,f1_score,roc_auc,fbeta_score
10,CombSequentialDQN36351552/CombSequentialDQN36351552_10_892,0.32473291974664437,0.04974115275387228,0.058989270764044345,0.03243912427260538,0.5991083252461242,18.5,0.7,20,1.0,0.3763647222731975,0.09776622613790519,1.0,1.0,1.0,0.85,0.3,0.2,0.05,0.0,0.0,0.0,0.0,1.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8037451850935136,0.20998182580735356,0.07076894082171127,0.10586037988511822,0.5092374437039652,0.18820390353204786
11,CombSequentialDQN36351552/CombSequentialDQN36351552_10_893,0.31538801539957045,0.048093041683426194,0.053724683121884755,0.028667574061645197,0.6012007173539524,18.4,0.8,20,1.0,0.3850647815663296,0.10566348168933606,1.0,1.0,1.0,0.75,0.45,0.15,0.05,0.0,0.0,0.0,0.0,1.0,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076821929675293,0.24431019949423996,0.08193554466641538,0.12271540469973892,0.5160792823922479,0.21880365918645273
12,CombSequentialDQN36351552/CombSequentialDQN36351552_10_894,0.32110957583799266,0.051554741765644396,0.0815476679996236,0.05766026879583912,0.5755712759904669,18.0,0.6,20,1.0,0.4047474019949203,0.1109217620067235,1.0,1.0,1.0,0.8,0.4,0.25,0.05,0.05,0.0,0.0,0.0,1.0,0.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7755286728648113,0.18864307962622795,0.11128910667169242,0.13999110979404356,0.5086391305230165,0.18123307456219537
13,CombSequentialDQN36351552/CombSequentialDQN36351552_10_895,0.3227502300888421,0.050819345781058914,0.08862715356578803,0.045113451939761615,0.5922497953846401,18.65,0.65,20,1.0,0.41099528496962723,0.09847888719956258,1.0,1.0,0.95,0.75,0.4,0.2,0.1,0.05,0.05,0.05,0.05,1.0,0.35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.789443559240753,0.20033972821742607,0.09446852619675838,0.1283939549180328,0.5102045949449117,0.18794940226741366
14,CombSequentialDQN36351552/CombSequentialDQN36351552_10_896,0.3193481382630802,0.04910008579408572,0.07073180813103258,0.03821667072708308,0.5926751560971326,18.6,0.6,20,1.0,0.38542102147568574,0.12218048118487464,1.0,1.0,1.0,0.8,0.35,0.2,0.05,0.05,0.0,0.0,0.0,1.0,0.5,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7980910539424222,0.21601489757914338,0.08744817188088956,0.12449691440837135,0.512556793090044,0.19882038614709888
15,CombSequentialDQN36351552/CombSequentialDQN36351552_10_897,0.3298767409477198,0.050069007088905326,0.06526925552775646,0.03661912791699139,0.5936654440102118,18.65,0.5,20,1.0,0.4037153701167827,0.0910267291698994,1.0,1.0,1.0,0.8,0.6,0.2,0.05,0.0,0.0,0.0,0.0,1.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7942932722800613,0.19808881394041597,0.08301922352054278,0.11700255652578108,0.5085054104684203,0.18315560338502176
16,CombSequentialDQN36351552/CombSequentialDQN36351552_10_898,0.3378656771333003,0.052416961962716835,0.0735203471171761,0.04585332327619738,0.5914304850611914,18.8,0.7,20,1.0,0.4073461460037547,0.14662440712952116,1.0,1.0,0.95,0.8,0.5,0.25,0.1,0.05,0.0,0.0,0.0,1.0,0.7,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.8022833098711384,0.2271011575239054,0.08504523181304184,0.12374880021938846,0.5140991182847853,0.20678338454903228
17,CombSequentialDQN36351552/CombSequentialDQN36351552_10_899,0.31951254696843956,0.04978113688174775,0.06553250804232284,0.04201352198024659,0.6088305295895143,19.0,0.7,20,1.0,0.376906610499541,0.09239797538940556,1.0,1.0,1.0,0.85,0.35,0.15,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8009219869127361,0.21277678798676508,0.07877874104787033,0.11498521422185543,0.5107669130458208,0.19342370297784311
18,CombSequentialDQN36351552/CombSequentialDQN36351552_10_900,0.3225278197198053,0.051825931237600854,0.07401982152780603,0.07784057855790527,0.5982140015137661,18.65,0.7,20,1.0,0.4225519500628339,0.10276131683336583,1.0,1.0,1.0,0.8,0.45,0.15,0.05,0.05,0.05,0.05,0.05,1.0,0.55,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8029794409294123,0.22030550434553595,0.07882585751978892,0.11610798806301617,0.5120166192338816,0.19926713749229302
19,CombSequentialDQN36351552/CombSequentialDQN36351552_10_901,0.3296168825054956,0.04923627058071272,0.07193353814745164,0.03909204694150022,0.5773777883134956,18.25,0.6,20,1.0,0.43055220006556183,0.11932091502375622,1.0,1.0,1.0,0.7,0.65,0.3,0.1,0.1,0.05,0.0,0.0,1.0,0.6,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8037297155144408,0.2297877880484312,0.08316057293629853,0.12212419996540391,0.5142071118091572,0.2081945600888149
